booking_id,customer_id,hotel_id,room_id,created_at,checkin_date,checkout_date,nights,currency,total_amount,status,source
B000001,C00192,H001,H001-R005,2025-03-10,2025-03-27,2025-04-01,5,USD,967.95,cancelled,walk_in
B000002,C02205,H001,H001-R018,2025-01-04,2025-01-17,2025-01-24,7,EUR,1514.68,confirmed,walk_in
B000003,C02647,H001,H001-R004,2025-01-10,2025-02-01,2025-02-05,4,EUR,841.42,confirmed,expedia
B000004,C01993,H008,H008-R009,2025-03-28,2025-04-13,2025-04-19,6,GBP,1173.92,confirmed,web
B000005,C02188,H004,H004-R009,2025-04-02,2025-04-08,2025-04-09,1,EUR,186.65,confirmed,booking.com
B000006,C02169,H003,H003-R021,2025-07-06,2025-07-24,2025-07-26,2,EUR,402.27,checked_out,web
B000007,C00599,H004,H004-R019,2025-01-27,2025-02-14,2025-02-15,1,EUR,174.39,checked_out,web
B000008,C01104,H008,H008-R008,2025-02-02,2025-02-05,2025-02-07,2,GBP,261.2,confirmed,mobile
B000009,C01820,H002,H002-R006,2025-03-12,2025-03-24,2025-03-26,2,USD,396.32,confirmed,mobile
B000010,C00700,H002,H002-R017,2025-03-18,2025-03-27,2025-03-28,1,EUR,143.7,checked_out,booking.com
B000011,C01459,H006,H006-R008,2025-06-28,2025-06-29,2025-06-30,1,EUR,144.22,checked_out,mobile
B000012,C02348,H003,H003-R008,2025-05-07,2025-05-21,2025-05-25,4,USD,680.51,confirmed,booking.com
B000013,C01776,H006,H006-R009,2025-07-19,2025-07-20,2025-07-25,5,EUR,712.61,confirmed,web
B000014,C01913,H006,H006-R018,2025-07-18,2025-08-12,2025-08-19,7,EUR,1495.26,checked_out,walk_in
B000015,C00970,H008,H008-R012,2025-06-21,2025-06-30,2025-07-05,5,USD,643.03,confirmed,expedia
B000016,C01613,H007,H007-R017,2025-01-12,2025-01-23,2025-01-24,1,GBP,124.95,checked_out,expedia
B000017,C00266,H003,H003-R016,2025-04-18,2025-05-10,2025-05-11,1,USD,188.42,checked_out,walk_in
B000018,C00990,H004,H004-R004,2025-06-25,2025-07-14,2025-07-18,4,EUR,595.51,confirmed,expedia
B000019,C01822,H004,H004-R005,2025-04-18,2025-05-04,2025-05-08,4,EUR,495.64,checked_out,web
B000020,C02511,H005,H005-R009,2025-04-27,2025-05-17,2025-05-24,7,EUR,1107.08,confirmed,booking.com
B000021,C01332,H008,H008-R011,2025-07-10,2025-07-12,2025-07-16,4,USD,639.21,confirmed,web
B000022,C02906,H008,H008-R011,2025-03-11,2025-03-22,2025-03-23,1,EUR,206.18,checked_out,walk_in
B000023,C01444,H007,H007-R006,2025-07-09,2025-07-22,2025-07-26,4,EUR,796.43,confirmed,mobile
B000024,C02166,H001,H001-R020,2025-02-13,2025-02-21,2025-02-23,2,EUR,410.24,checked_out,booking.com
B000025,C00822,H004,H004-R013,2025-05-22,2025-06-09,2025-06-11,2,EUR,391.57,confirmed,expedia
B000026,C02956,H002,H002-R011,2025-06-05,2025-06-09,2025-06-10,1,EUR,169.64,cancelled,walk_in
B000027,C01423,H008,H008-R024,2025-01-16,2025-01-21,2025-01-25,4,EUR,626.56,confirmed,walk_in
B000028,C00271,H006,H006-R010,2025-01-10,2025-01-14,2025-01-15,1,GBP,147.03,checked_out,mobile
B000029,C01153,H007,H007-R015,2025-03-04,2025-03-24,2025-03-30,6,USD,1257.39,cancelled,mobile
B000030,C01005,H007,H007-R007,2025-03-23,2025-03-30,2025-04-03,4,EUR,716.81,confirmed,web
B000031,C02949,H003,H003-R020,2025-06-19,2025-06-23,2025-06-25,2,USD,387.91,no_show,mobile
B000032,C01083,H003,H003-R022,2025-03-06,2025-03-12,2025-03-15,3,EUR,497.33,confirmed,booking.com
B000033,C01187,H007,H007-R015,2025-07-19,2025-07-19,2025-07-20,1,EUR,150.84,confirmed,booking.com
B000034,C01168,H006,H006-R010,2025-06-07,2025-06-09,2025-06-10,1,EUR,191.14,confirmed,walk_in
B000035,C01132,H001,H001-R021,2025-02-14,2025-02-15,2025-02-18,3,EUR,478.58,cancelled,booking.com
B000036,C02429,H008,H008-R015,2025-06-29,2025-07-03,2025-07-05,2,EUR,286.57,cancelled,walk_in
B000037,C00186,H004,H004-R021,2025-03-21,2025-04-04,2025-04-05,1,EUR,152.66,checked_out,expedia
B000038,C02739,H006,H006-R002,2025-05-05,2025-05-06,2025-05-09,3,USD,609.26,confirmed,booking.com
B000039,C01709,H008,H008-R017,2025-04-07,2025-04-16,2025-04-17,1,EUR,142.42,confirmed,walk_in
B000040,C02883,H003,H003-R022,2025-05-13,2025-05-29,2025-05-30,1,EUR,148.94,confirmed,expedia
B000041,C00297,H001,H001-R005,2025-02-16,2025-03-07,2025-03-12,5,EUR,812.72,confirmed,walk_in
B000042,C02374,H007,H007-R024,2025-06-21,2025-07-07,2025-07-08,1,EUR,173.38,confirmed,web
B000043,C02195,H004,H004-R011,2025-03-02,2025-03-26,2025-04-01,6,EUR,922.38,confirmed,web
B000044,C00540,H005,H005-R005,2025-02-08,2025-02-19,2025-02-23,4,EUR,483.59,confirmed,web
B000045,C00447,H007,H007-R014,2025-01-22,2025-02-05,2025-02-06,1,EUR,154.95,confirmed,mobile
B000046,C00831,H006,H006-R023,2025-07-06,2025-07-19,2025-07-22,3,EUR,378.96,confirmed,web
B000047,C01882,H007,H007-R008,2025-02-20,2025-02-24,2025-02-26,2,USD,242.28,confirmed,booking.com
B000048,C01576,H005,H005-R022,2025-02-18,2025-03-13,2025-03-16,3,EUR,476.85,confirmed,web
B000049,C00471,H005,H005-R011,2025-03-27,2025-04-17,2025-04-18,1,GBP,219.61,checked_out,expedia
B000050,C02097,H005,H005-R012,2025-01-11,2025-02-03,2025-02-09,6,EUR,1157.34,checked_out,mobile
B000051,C00942,H003,H003-R017,2025-04-18,2025-05-09,2025-05-13,4,USD,698.76,confirmed,mobile
B000052,C02695,H008,H008-R022,2025-01-22,2025-02-14,2025-02-16,2,GBP,319.9,cancelled,mobile
B000053,C02682,H002,H002-R014,2025-07-15,2025-07-18,2025-07-21,3,EUR,518.84,cancelled,expedia
B000054,C02111,H003,H003-R016,2025-06-23,2025-07-16,2025-07-18,2,EUR,291.42,confirmed,web
B000055,C00533,H008,H008-R008,2025-02-16,2025-02-22,2025-02-28,6,USD,1156.87,checked_out,web
B000056,C02019,H001,H001-R010,2025-02-03,2025-02-12,2025-02-15,3,USD,421.19,checked_out,mobile
B000057,C00100,H004,H004-R012,2025-05-07,2025-05-24,2025-05-26,2,EUR,331.96,cancelled,web
B000058,C01826,H002,H002-R024,2025-03-04,2025-03-14,2025-03-19,5,GBP,749.31,confirmed,web
B000059,C00540,H002,H002-R014,2025-01-03,2025-01-04,2025-01-05,1,EUR,131.68,no_show,mobile
B000060,C02631,H007,H007-R001,2025-03-14,2025-04-03,2025-04-06,3,EUR,374.07,cancelled,mobile
B000061,C01329,H002,H002-R016,2025-05-08,2025-05-21,2025-05-25,4,EUR,745.77,confirmed,expedia
B000062,C01775,H006,H006-R018,2025-04-23,2025-05-11,2025-05-13,2,EUR,365.19,confirmed,booking.com
B000063,C01812,H007,H007-R017,2025-07-09,2025-07-17,2025-07-21,4,EUR,754.11,confirmed,web
B000064,C00553,H003,H003-R001,2025-04-25,2025-05-10,2025-05-11,1,USD,153.36,checked_out,web
B000065,C01664,H006,H006-R014,2025-03-12,2025-03-20,2025-03-25,5,EUR,816.24,confirmed,walk_in
B000066,C00137,H003,H003-R009,2025-03-23,2025-03-30,2025-04-01,2,EUR,259.68,confirmed,expedia
B000067,C00964,H003,H003-R023,2025-06-15,2025-07-10,2025-07-13,3,EUR,462.5,confirmed,booking.com
B000068,C00397,H006,H006-R020,2025-02-25,2025-03-10,2025-03-11,1,EUR,173.53,confirmed,walk_in
B000069,C01933,H005,H005-R017,2025-02-05,2025-02-26,2025-02-28,2,EUR,404.85,confirmed,booking.com
B000070,C02945,H002,H002-R007,2025-05-21,2025-05-24,2025-05-28,4,EUR,816.54,checked_out,web
B000071,C01268,H008,H008-R016,2025-01-21,2025-01-28,2025-01-30,2,GBP,447.79,checked_out,mobile
B000072,C02436,H008,H008-R017,2025-01-18,2025-01-25,2025-01-30,5,EUR,852.42,confirmed,mobile
B000073,C00941,H005,H005-R006,2025-05-20,2025-06-07,2025-06-14,7,USD,1556.36,confirmed,walk_in
B000074,C01046,H003,H003-R009,2025-04-16,2025-05-01,2025-05-03,2,EUR,379.45,confirmed,walk_in
B000075,C00088,H002,H002-R010,2025-01-07,2025-01-15,2025-01-17,2,USD,328.81,confirmed,web
B000076,C02904,H008,H008-R016,2025-07-03,2025-07-08,2025-07-09,1,EUR,201.08,checked_out,mobile
B000077,C00036,H003,H003-R013,2025-06-07,2025-07-02,2025-07-08,6,EUR,1312.18,confirmed,expedia
B000078,C01778,H008,H008-R024,2025-03-06,2025-03-15,2025-03-18,3,EUR,635.99,confirmed,booking.com
B000079,C01623,H006,H006-R005,2025-06-08,2025-07-01,2025-07-06,5,EUR,1048.42,no_show,mobile
B000080,C00238,H006,H006-R002,2025-04-26,2025-05-07,2025-05-10,3,GBP,580.78,confirmed,mobile
B000081,C02498,H007,H007-R024,2025-06-24,2025-06-28,2025-06-29,1,EUR,163.41,confirmed,web
