payment_id,booking_id,provider,status,amount,currency,transaction_date
P442GX5C9A,B001638,adyen,refunded,1104.52,EUR,2025-01-22
PGTWB2B14F,B001382,paypal,captured,633.22,EUR,2025-03-02
PKY19VOJBU,B002715,adyen,captured,433.13,EUR,2025-07-13
PXR4L3B0JV,B002557,paypal,authorized,142.81,USD,2025-02-24
PKG6NWSKZN,B000587,pos,authorized,1135.43,EUR,2025-07-06
PEYEJ0J2KV,B002184,pos,captured,1085.65,EUR,2025-05-03
PKKCWMYKHB,B003074,adyen,captured,1075.63,GBP,2025-07-22
PAQU6YFMF1,B003629,pos,captured,181.9,EUR,2025-06-10
PIR1T1VD73,B004015,pos,captured,212.32,EUR,2025-06-28
POML4DRCNA,B004355,paypal,captured,1122.02,EUR,2025-07-03
PV86FGGW8G,B003748,pos,captured,844.29,USD,2025-01-28
PIWAYD4BK3,B005730,stripe,captured,129.32,GBP,2025-02-22
PSOJUM8PYM,B000802,paypal,captured,541.23,GBP,2025-01-20
PZNEFHOFON,B004365,adyen,authorized,520.95,EUR,2025-06-20
PRSG8EZ5UM,B005870,adyen,captured,727.88,EUR,2025-04-17
PK22YQ4Y62,B001816,pos,captured,1052.84,EUR,2025-05-05
P1HL14V6CC,B005211,paypal,authorized,538.97,EUR,2025-04-15
PYGHFYEQ6O,B003176,paypal,captured,1248.21,GBP,2025-04-01
PQX79TDXJ4,B000028,adyen,captured,147.03,GBP,2025-01-15
P8GZ5YFTKG,B003056,pos,captured,152.82,EUR,2025-01-11
PSAWYLXROT,B003056,adyen,authorized,218.32,EUR,2025-01-14
PAFDK4LSN3,B005804,pos,captured,509.99,USD,2025-02-12
P7YWH4W6SA,B005142,adyen,captured,470.95,EUR,2025-03-05
PXGW4XWJHW,B002803,pos,captured,558.86,EUR,2025-06-08
P2SLWJXEBD,B003179,adyen,refunded,649.24,GBP,2025-03-27
PCTJKJLMOL,B003487,paypal,captured,212.13,EUR,2025-07-02
PQ4RO5VDVZ,B005148,paypal,captured,154.55,EUR,2025-01-14
PISZ7DAVQV,B000104,paypal,captured,303.06,EUR,2025-02-26
P9TQSTMMGC,B000104,pos,captured,432.95,EUR,2025-02-23
PONC72AY04,B005452,pos,captured,388.49,USD,2025-04-11
P4BZ76B9BF,B002625,pos,captured,665.04,USD,2025-02-11
PEIX4LEYR9,B001735,paypal,authorized,780.53,EUR,2025-06-13
